"username","description","content"
"DefenceU","Official page of the Ministry of Defense of Ukraine 🇺🇦","Президент України Володимир Зеленський відвідав у госпіталі поранених захисників України 🇺🇦

🔊 «Хлопці, швидше одужуйте. Вірю: найкращим подарунком до вашої виписки буде наша спільна перемога!» - зазначив @ZelenskyyUa https://t.co/lHYZJHWvp8"
"DefenceU","Official page of the Ministry of Defense of Ukraine 🇺🇦","💬Президент України Володимир Зеленський:
""Всі ми тут - захищаємо нашу Незалежність, нашу державу! Так буде й надалі. Слава нашим захисникам і захисницям! Слава Україні!🇺🇦"" https://t.co/hojX94ONDI"
"UkrArmyBlog","СЛАВА УКРАЇНІ ТА ЇЇ ВОЇНАМ!                        Неофіційна сторінка підтримки ЗСУ","В бою загинув льотчик-винищувач Олександр Оксанченко. 
Він був одним з найкращих!
В бою відволікав авіацію ворога на себе. 
Президент України Володимир Зеленський посмертно нагородив Олександра Оксанченко званням Герой України!
Вічна пам'ять! https://t.co/chxoYf8Unw"
"DefenceU","Official page of the Ministry of Defense of Ukraine 🇺🇦","Головнокомандувачу ЗС України генерал-лейтенанту Валерію Залужному присвоєно звання ""генерал"".

Про це у своєму виступі заявив Президент України Володимир Зеленський.

ВІТАЄМО!!!
#stoprussia https://t.co/3Qxm9wApPz"
"UkrArmyBlog","СЛАВА УКРАЇНІ ТА ЇЇ ВОЇНАМ!                        Неофіційна сторінка підтримки ЗСУ","❗❗❗ Майже 9000 вбитих 🇷🇺 окупантів за один тиждень війни!
“Кожен окупант повинен знати: вони отримають від українців люту відсіч. Таку, що назавжди запам'ятають, що ми свого не віддамо!” - Президент України Володимир Зеленський https://t.co/V4trwWICT8"
"verkhovna_rada","Офіційна сторінка Верховної Ради України| Official account of Verkhovna Rada","❗️❗️❗️❗️Президент України Володимир Зеленський підписав заявку на членство України в Європейському Союзі. https://t.co/IKiGpOlIzI"
"verkhovna_rada","Офіційна сторінка Верховної Ради України| Official account of Verkhovna Rada","❗️❗️Сьогодні, 1 березня, Президент України Володимир Зеленський виступить перед депутатами Європарламенту. 
Підписана заявка про вступ України до ЄС за прискореною процедурою була прийнята, зареєстрована і взята до розгляду.
Виступ Президента проходитиме у відеоформаті."
"UkrArmyBlog","СЛАВА УКРАЇНІ ТА ЇЇ ВОЇНАМ!                        Неофіційна сторінка підтримки ЗСУ","Президент 🇺🇦 Володимир Зеленський підписав указ № 74/2022 про присвоєння звання Героя України саперу,матросу Віталію Скакуну (посмертно) за визначну особисту мужність і героїзм,виявлені у захисті державного суверенітету й територіальної цілісності 🇺🇦,вірність військовій присязі. https://t.co/rJvlowtWgx"
"ua_industrial","My name is Pavlo. Here the whole world reads about the war in Ukraine 🇺🇦 ꑭ ᛭ □ △

🟩 Support our work here - https://t.co/IPE3fNOR1n","Президент Володимир Зеленський підписав указ про присвоєння звання Героя України дванадцяти нашим захисникам: https://t.co/lidaYw2BD3"
"UkrArmyBlog","СЛАВА УКРАЇНІ ТА ЇЇ ВОЇНАМ!                        Неофіційна сторінка підтримки ЗСУ","Президент України Володимир Зеленський звернувся до всіх громадян іноземних держав, які є друзями України. Усі, хто хоче приєднатися до захисту безпеки у Європі та світі, можуть приїхати й стати пліч-о-пліч з українцями проти загарбників XXI століття.
https://t.co/zuDR1cOnIY https://t.co/1mUEn0tKyy"
"ltpzdc","Тут атланти-терикони підпирають небокрай","Президент у відповідь на пропозицію Байдена щодо евакуації:
– Мені потрібні боєприпаси, а не поїздка

Здається, що Володимир Зеленський - це найкраще, що трапилось з Україною за останні 30 років. А можливо і за 300."
"APUkraine","Офіс Президента України / Office of the President of Ukraine","Україна звертається до Європейського Союзу щодо невідкладного приєднання до ЄС за новою спеціальною процедурою. Про це заявив Президент Володимир Зеленський у зверненні.

Подробиці: https://t.co/0sdF5SVUYc https://t.co/z3eZsxZMRt"
